"Time","Closts","Bifidos","Desulfos","Bacteroides"
0,922,23563,71,5491
1,925,23638,71,5508
2,928,23695,71,5525
3,929,23746,72,5544
4,930,23794,72,5560
5,932,23839,72,5567
6,936,23902,72,5579
7,940,23953,73,5589
8,944,23978,74,5599
9,944,24020,74,5617
10,950,24042,73,5627
11,948,24068,73,5631
12,949,24096,74,5638
13,950,24106,74,5640
14,949,24136,74,5645
15,950,24144,74,5649
16,951,24159,74,5640
17,953,24187,74,5646
18,954,24184,75,5639
19,957,24210,76,5646
20,963,24224,76,5646
21,961,24244,76,5650
22,965,24255,76,5657
23,968,24295,77,5657
24,966,24304,77,5665
25,965,24329,76,5678
26,964,24356,76,5688
27,963,24360,76,5692
28,965,24379,76,5695
29,964,24386,76,5700
30,966,24407,76,5707
31,967,24434,75,5716
32,967,24448,75,5718
33,969,24467,73,5723
34,970,24493,74,5726
35,969,24516,74,5728
36,967,24562,74,5727
37,968,24573,74,5730
38,966,24591,73,5736
39,967,24602,73,5738
40,970,24615,74,5747
41,971,24632,72,5756
42,974,24655,71,5757
43,974,24689,71,5761
44,975,24711,71,5769
45,974,24726,71,5758
46,975,24728,72,5773
47,976,24741,72,5763
48,976,24731,72,5774
49,977,24744,72,5778
50,977,24742,71,5789
51,976,24766,72,5793
52,978,24775,72,5791
53,979,24774,72,5792
54,978,24804,71,5801
55,971,24799,71,5800
56,972,24817,71,5802
57,972,24847,71,5806
58,968,24855,72,5816
59,971,24853,72,5816
60,973,24854,72,5818
61,974,24869,73,5814
62,971,24878,74,5819
63,975,24890,74,5819
64,978,24882,74,5823
65,977,24897,74,5824
66,979,24906,74,5834
67,979,24908,71,5826
68,978,24930,71,5832
69,973,24912,71,5830
70,976,24909,72,5835
71,975,24928,72,5835
72,976,24936,72,5845
73,977,24931,73,5843
74,977,24941,73,5843
75,977,24941,73,5847
76,975,24944,74,5846
77,978,24964,74,5841
78,976,24965,73,5843
79,976,24976,73,5841
80,973,24983,73,5848
81,972,25007,73,5849
82,970,24997,73,5851
83,970,25006,72,5847
84,969,25023,71,5849
85,969,25033,71,5852
86,969,25035,71,5852
87,970,25039,71,5851
88,974,25054,71,5846
89,980,25033,71,5840
90,980,25026,71,5846
91,981,25036,71,5853
92,983,25047,71,5860
93,983,25025,71,5870
94,984,25039,71,5870
95,980,25027,71,5864
96,979,25030,71,5859
97,973,25032,71,5862
98,972,25031,71,5854
99,972,25028,71,5851
100,972,25003,72,5853
101,969,24994,69,5856
102,969,24993,70,5855
103,966,25010,70,5851
104,967,25024,69,5845
105,967,25005,70,5840
106,963,25002,69,5841
107,961,25009,70,5839
108,959,25017,69,5835
109,959,25027,70,5834
110,962,25028,70,5828
111,965,25014,70,5814
112,963,25023,70,5812
