"Time","Closts","Bifidos","Desulfos","Bacteroides"
264,813,19726,61,4664
265,815,19646,61,4650
266,812,19573,61,4634
267,808,19519,61,4622
268,808,19473,59,4613
269,808,19429,59,4597
270,806,19362,58,4573
271,808,19300,59,4558
272,806,19235,59,4542
273,799,19177,59,4524
274,795,19129,59,4505
275,793,19088,59,4497
276,790,18998,59,4497
277,784,18960,59,4468
278,778,18882,60,4449
279,777,18819,60,4441
280,770,18740,60,4424
281,768,18668,59,4416
282,763,18605,59,4401
283,763,18549,58,4385
284,758,18494,56,4364
285,755,18408,56,4358
286,749,18339,56,4330
287,743,18280,56,4315
288,743,18214,55,4299
289,737,18124,55,4287
290,730,18079,56,4269
291,729,18013,56,4248
292,726,17928,55,4227
293,721,17879,55,4222
294,720,17834,55,4216
295,715,17770,54,4195
296,713,17728,54,4178
297,708,17636,54,4167
298,704,17553,52,4153
299,703,17482,53,4138
300,696,17389,53,4108
301,693,17312,53,4102
302,695,17226,51,4092
303,692,17133,51,4065
304,690,17066,51,4044
305,684,16969,51,4027
306,679,16873,51,4010
307,677,16802,52,4001
308,678,16716,52,3984
309,676,16648,52,3981
310,662,16589,52,3963
311,658,16519,50,3955
312,656,16466,50,3938
313,652,16381,50,3916
314,650,16330,50,3899
315,648,16221,50,3882
316,647,16155,50,3875
317,644,16049,50,3870
318,643,15959,50,3848
319,642,15888,50,3827
320,641,15810,50,3815
321,629,15738,50,3800
322,630,15673,50,3780
323,628,15595,50,3760
324,624,15518,50,3751
325,615,15428,50,3732
326,612,15366,50,3704
327,608,15289,50,3692
328,604,15242,50,3672
329,601,15186,50,3651
330,600,15103,49,3641
331,596,14995,50,3624
332,582,14882,50,3598
333,580,14798,50,3579
334,578,14726,50,3546
335,574,14638,49,3523
336,572,14557,49,3503
337,570,14470,49,3486
338,564,14370,47,3471
339,564,14277,46,3454
340,562,14199,46,3434
341,557,14120,46,3424
342,555,14035,46,3399
343,553,13934,46,3386
344,545,13846,46,3362
345,539,13767,46,3333
346,535,13685,46,3314
347,528,13624,46,3294
348,530,13547,45,3280
349,528,13449,45,3254
350,521,13368,45,3224
351,515,13275,43,3207
352,512,13172,43,3185
353,510,13084,43,3157
354,507,13009,43,3137
355,503,12898,43,3109
356,500,12801,42,3092
357,499,12715,42,3065
358,496,12626,42,3031
359,498,12535,42,3007
360,499,12514,42,2998
361,499,12521,42,2993
362,500,12534,42,2994
363,500,12548,42,3000
364,502,12558,42,3005
365,502,12583,42,3008
366,502,12614,42,3012
367,502,12640,43,3018
368,502,12651,43,3023
369,502,12667,42,3024
370,502,12683,42,3027
371,502,12697,42,3031
372,503,12713,42,3032
373,503,12733,42,3036
374,505,12751,42,3039
375,507,12767,42,3046
376,507,12786,42,3055
377,508,12810,42,3061
378,510,12827,42,3065
379,511,12840,42,3067
380,512,12851,42,3073
381,513,12873,42,3076
382,514,12897,42,3080
383,514,12922,42,3086
384,514,12940,42,3091
385,514,12948,42,3094
386,515,12969,42,3094
387,516,12982,42,3096
388,517,12999,42,3104
389,518,13017,42,3107
390,518,13031,42,3109
391,518,13050,42,3112
392,520,13063,42,3112
393,521,13080,42,3115
394,522,13100,42,3118
395,524,13115,42,3122
396,524,13136,42,3130
397,524,13154,42,3135
398,525,13166,42,3138
399,526,13191,42,3142
400,525,13205,42,3150
401,525,13228,42,3155
402,526,13252,42,3165
403,526,13277,42,3175
404,527,13293,42,3178
405,527,13305,42,3181
406,530,13322,42,3185
407,535,13341,42,3191
408,538,13366,43,3193
409,537,13374,43,3198
410,536,13386,43,3204
411,537,13402,43,3208
412,538,13415,43,3215
413,538,13426,43,3218
414,539,13445,43,3222
415,541,13459,43,3226
416,541,13487,43,3227
417,543,13516,43,3233
418,544,13537,43,3238
419,543,13550,43,3238
420,543,13572,43,3244
421,544,13604,43,3252
422,545,13630,43,3257
423,546,13646,43,3268
424,547,13668,43,3271
425,547,13686,43,3274
426,547,13707,43,3279
427,548,13719,43,3284
428,549,13732,43,3287
429,549,13750,43,3294
430,550,13771,43,3296
431,551,13796,43,3301
432,552,13816,43,3303
433,552,13830,43,3310
434,553,13849,43,3315
435,553,13872,43,3319
436,554,13894,43,3322
437,554,13924,43,3330
438,554,13954,43,3333
439,554,13973,43,3337
440,555,13996,43,3347
441,556,14013,43,3356
442,558,14037,43,3361
443,559,14068,43,3364
444,558,14093,43,3368
445,558,14119,43,3370
446,558,14151,43,3373
447,559,14173,43,3377
448,562,14191,43,3379
449,564,14207,43,3382
450,564,14226,43,3383
451,566,14242,43,3385
452,569,14252,43,3388
453,569,14271,43,3394
454,570,14290,44,3405
455,571,14309,44,3411
456,571,14333,44,3413
457,572,14351,44,3417
458,573,14366,44,3422
459,574,14382,44,3430
460,574,14395,44,3437
461,574,14419,44,3443
462,576,14443,44,3450
463,576,14461,44,3452
464,578,14486,44,3458
465,579,14507,44,3462
466,581,14518,44,3463
467,583,14538,44,3466
468,584,14564,44,3469
469,584,14588,44,3474
470,584,14611,44,3477
471,584,14638,44,3483
472,584,14659,44,3489
473,585,14686,44,3497
474,588,14718,44,3501
475,591,14745,44,3504
476,594,14775,45,3508
477,595,14793,45,3510
478,595,14813,45,3514
479,596,14839,45,3521
480,596,14865,45,3527
481,598,14886,46,3531
482,601,14917,47,3536
483,605,14939,47,3545
484,607,14958,48,3551
485,610,14973,48,3559
486,612,14991,48,3566
487,612,15012,48,3572
488,613,15036,48,3578
489,616,15054,48,3588
490,618,15070,48,3595
491,618,15097,48,3595
492,618,15119,48,3596
493,619,15141,48,3600
494,620,15161,48,3606
495,620,15181,48,3612
496,620,15197,48,3617
497,621,15220,48,3622
498,622,15245,48,3624
499,622,15271,48,3628
500,627,15297,48,3633
501,629,15318,48,3641
502,629,15338,48,3647
503,629,15355,48,3653
504,629,15373,48,3657
505,629,15394,48,3665
506,630,15420,48,3674
507,633,15441,48,3683
508,637,15462,48,3690
509,638,15483,48,3695
510,639,15504,48,3704
511,640,15522,48,3711
512,640,15545,48,3715
513,643,15573,48,3719
514,648,15593,48,3724
515,650,15617,48,3727
516,651,15645,48,3735
517,654,15669,48,3743
518,654,15693,48,3745
519,654,15718,48,3751
520,653,15742,48,3755
521,656,15760,48,3758
522,659,15787,48,3761
523,659,15811,48,3765
524,659,15827,48,3770
525,659,15847,48,3778
526,660,15879,48,3783
527,660,15907,48,3787
528,660,15935,48,3795
529,661,15965,48,3803
530,662,15985,48,3810
531,664,16001,48,3814
532,666,16025,48,3818
533,667,16045,48,3823
534,668,16067,48,3830
535,670,16096,48,3838
536,674,16128,48,3849
537,678,16159,48,3861
538,680,16183,48,3871
539,682,16221,47,3874
540,684,16249,47,3877
541,685,16269,48,3886
542,688,16288,48,3894
543,690,16305,48,3895
544,690,16327,48,3900
545,690,16355,48,3908
546,690,16384,48,3915
547,690,16407,48,3920
548,689,16430,48,3922
549,689,16453,48,3927
550,690,16472,48,3932
551,692,16485,48,3939
552,694,16510,48,3943
553,696,16528,48,3945
554,696,16553,47,3951
555,696,16581,47,3963
556,697,16608,46,3975
557,700,16640,46,3979
558,706,16667,46,3986
559,710,16696,46,3992
560,712,16721,46,3991
561,712,16741,46,3994
562,712,16768,46,3999
563,713,16791,46,4005
564,714,16816,46,4014
565,716,16834,46,4018
566,719,16857,46,4022
567,723,16890,46,4026
568,725,16919,46,4030
569,725,16939,46,4034
570,726,16954,46,4038
571,727,16966,46,4040
572,728,16978,46,4048
573,728,16997,46,4053
574,727,17020,46,4059
575,727,17051,46,4064
576,727,17077,46,4066
577,727,17104,46,4071
578,728,17127,46,4077
579,730,17146,46,4084
580,731,17161,46,4091
581,731,17176,46,4094
582,733,17208,46,4101
583,734,17238,46,4112
584,734,17276,46,4124
585,734,17307,46,4133
586,734,17342,46,4143
587,736,17376,46,4145
588,737,17398,46,4150
589,738,17419,46,4161
590,739,17444,46,4167
591,738,17465,46,4172
592,739,17484,46,4174
593,740,17511,46,4176
594,742,17537,46,4182
595,745,17557,46,4187
596,747,17572,46,4193
597,748,17588,46,4199
598,748,17615,46,4202
599,748,17641,46,4208
600,748,17666,46,4215
601,748,17691,47,4220
602,748,17711,48,4229
603,748,17730,48,4237
604,748,17754,48,4241
605,747,17783,48,4247
606,747,17813,48,4260
607,746,17841,48,4270
608,746,17864,48,4274
609,746,17884,48,4281
610,747,17912,48,4290
611,749,17931,48,4298
612,749,17954,48,4306
613,750,17982,48,4308
614,749,18013,48,4311
615,749,18042,48,4316
616,749,18066,48,4324
617,750,18093,48,4330
618,752,18124,48,4336
619,753,18150,49,4341
620,753,18180,49,4347
621,753,18205,50,4351
622,753,18231,50,4357
623,754,18256,51,4359
624,755,18282,51,4364
625,756,18311,51,4375
626,757,18333,51,4382
627,757,18344,51,4387
628,758,18356,51,4395
629,758,18372,52,4398
630,758,18396,52,4402
631,758,18413,52,4407
632,759,18430,52,4408
633,761,18458,52,4414
634,763,18488,52,4422
635,763,18507,52,4432
636,764,18523,52,4440
637,766,18545,52,4447
638,768,18567,52,4454
639,769,18590,52,4459
640,769,18610,52,4465
641,768,18629,52,4474
642,769,18655,52,4477
643,769,18676,52,4481
644,768,18694,52,4492
645,767,18710,52,4498
646,767,18724,52,4502
647,767,18751,52,4510
648,768,18782,52,4515
649,769,18803,52,4517
650,770,18824,52,4520
651,771,18849,52,4525
652,772,18886,52,4530
653,773,18918,52,4539
654,773,18934,51,4549
655,773,18966,51,4558
656,773,19004,51,4562
657,773,19038,51,4574
658,773,19076,51,4588
659,774,19109,51,4599
660,777,19137,51,4607
661,774,19143,52,4609
662,770,19125,53,4607
663,769,19119,53,4604
664,768,19106,53,4588
665,768,19115,53,4592
666,768,19138,53,4601
667,768,19161,53,4610
668,768,19188,53,4617
